page,component,displayed_value,source_file,source_type,data_flow,is_hardcoded,is_live,is_historical,is_calculated,is_demo,verification_status,notes
Model Comparison,Section A Cards,99.22% Acc (EffNet),ModelComparisonPage.tsx,Static TS Constant,Typed in component from FINAL_METRICS_TABLE.csv,true,false,false,false,false,VERIFIED,Authoritative frozen test evaluation metric (N=129)
Model Comparison,Section A Cards,93.02% Acc (MobileNet),ModelComparisonPage.tsx,Static TS Constant,Typed in component from FINAL_METRICS_TABLE.csv,true,false,false,false,false,VERIFIED,Authoritative frozen test evaluation metric (N=129)
Model Comparison,Section A Cards,99.22% Acc (Hybrid),ModelComparisonPage.tsx,Static TS Constant,Typed in component from FINAL_METRICS_TABLE.csv,true,false,false,false,false,VERIFIED,Authoritative frozen test evaluation metric (N=129)
Model Comparison,Section B Chart,94.2% / 91.7% / 95.1%,ModelComparisonPage.tsx,Static TS Array,developmentalChartData in TSX,true,false,false,false,true,VERIFIED,Developmental reference benchmark labeled with alert box
Dataset Analysis,Disease Distribution,Total Scans & Disease %,AnalyticsPage.tsx,React useMemo,predictionHistory -> diseaseDistributionData,false,true,false,true,false,VERIFIED,Dynamically calculated from session scans; empty state when N=0
Dataset Analysis,Risk Distribution,High/Mod/Low %,AnalyticsPage.tsx,React useMemo,predictionHistory -> riskDistributionData,false,true,false,true,false,VERIFIED,Dynamically calculated from session scan risk levels
Dataset Analysis,Confidence by Class,Average Confidence %,AnalyticsPage.tsx,React useMemo,predictionHistory -> confidenceByClassData,false,true,false,true,false,VERIFIED,Dynamically averaged across scans
Dataset Analysis,Environmental Trends,Daily Temp & RH Lines,AnalyticsPage.tsx,React useMemo,liveHourlyRecords (Open-Meteo) -> daily aggregation,false,true,false,true,false,VERIFIED,Aggregated dynamically from live 336h Open-Meteo weather stream
Historical Validation,Leaf Health Pillar,Disease & Confidence %,MultimodalAnalysisPage.tsx,React useApp,imageResult from DiseaseDetectionPage,false,true,false,true,false,VERIFIED,Bound to active visual diagnosis state
Historical Validation,Environmental Pillar,Risk Level & Factors,MultimodalAnalysisPage.tsx,React useApp,researchRiskResult or envRiskResult,false,true,false,true,false,VERIFIED,Bound to active microclimate engine
Historical Validation,Crop Stage Pillar,Season & DAP,MultimodalAnalysisPage.tsx,React useApp,plantingDate -> cropDap & TRANSLATIONS.season,false,true,false,true,false,VERIFIED,DAP calculated dynamically from farmer planting date
Historical Validation,Overall Risk Gauge,Score / 100 & Risk Tier,MultimodalAnalysisPage.tsx,riskCalculator.ts,calculateMultimodalFusion(imageResult, envResult),false,true,false,true,false,VERIFIED,Dynamically computed heuristic late fusion score
Historical Validation,Modality Weights,58% Visual / 42% Env,MultimodalAnalysisPage.tsx,riskCalculator.ts,calculateMultimodalFusion weights constants,true,false,false,false,false,VERIFIED,Documented transparent heuristic late-fusion configuration
Weather & Risk,Historical Presets,3 Scenarios (Erode / Dharmapuri),EnvironmentalRiskPage.tsx,historicalReanalysisData.ts,336h ERA5 hourly arrays -> calculateResearchEnvironmentalRisk,false,false,true,true,false,VERIFIED,Genuine 336h hourly records processed by risk engine
Weather & Risk,336h Exposure Vector,RH >= 80h / Rain mm / Temp h,EnvironmentalRiskPage.tsx,researchRiskEngine.ts,extractExposureFeatures() over active 336h series,false,true,true,true,false,VERIFIED,Dynamically extracted from live weather or selected preset
Weather & Risk,Debug Trace Panel,Record count & window diagnostics,EnvironmentalRiskPage.tsx,researchRiskEngine.ts,researchRiskResult dump,false,true,true,true,false,VERIFIED,Live inspection dump of active research risk calculation
Detailed Report Modal,Diagnostic Modal,Disease / Risk / Timestamps,DetailedReportModal.tsx,AppContext.tsx,activeReportRecord from predictionHistory,false,true,false,true,false,VERIFIED,Printable diagnostic report modal bound to selected record
