filename,source_folder,proposed_class,decision,reason,review_status
Leaf Blotch00001.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00002.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00003.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00004.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00005.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00006.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00007.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00008.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00009.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00010.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00011.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00012.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00013.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,AMBIGUOUS,Co-occurring foliar drying at leaf apex; difficult to differentiate Taphrina blotch from edge dehydration,COMPLETED
Leaf Blotch00014.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
Leaf Blotch00015.JPG,dataset_02/original/Turmeric Plant Disease/Leaf Blotch,Blotch,CANDIDATE,Confirmed turmeric foliage; prominent necrotic foliar blotch lesions matching Taphrina maculans pathology,COMPLETED
