feature_name,physical_unit,feature_category,scientific_justification,literature_source,threshold_or_formula
cumulative_rainfall_14d_mm,mm,Derived Statistical Feature,Sum of precipitation over 14 antecedent days. Splash dispersal and soil waterlogging driver.,TNAU Agritech Portal; ICAR-IISR Turmeric Production Manual,Sum of hourly precipitation over 336 hours
rainfall_days_14d_count,days (count 0-14),Derived Statistical Feature,"Number of discrete 24-hour days with measurable precipitation (>0.1mm), indicating rain persistence.","Palakshappa et al. (2013), Journal of Spices & Aromatic Crops",Daily aggregate precipitation > 0.1 mm
temp_mean_degC,°C,Derived Statistical Feature,Mean ambient air temperature at 2m during the 14-day exposure window.,Standard Meteorological Reanalysis Variable (ERA5-Land),Arithmetic mean over 336 hourly observations
hours_temp_favorable_22_32C,hours (count 0-336),Literature-Supported Threshold Feature,Cumulative hours within optimal fungal mycelial growth and incubation range for Colletotrichum & Taphrina.,TNAU Crop Protection Guide; Reddy et al. (Indian Phytopathology); Palakshappa et al.,Count of hours where 22.0°C <= temperature_2m <= 32.0°C
rh_mean_pct,%,Derived Statistical Feature,Mean relative atmospheric humidity at 2m over the 14-day window.,Standard Meteorological Reanalysis Variable (ERA5-Land),Arithmetic mean over 336 hourly observations
hours_rh_ge_80pct,hours (count 0-336),Literature-Supported Threshold Feature,Cumulative hours with relative humidity >= 80%. Critical threshold for spore germination and lesion halo expansion.,TNAU Agritech Portal (Turmeric Pathology); Indian Phytopathology (2022),Count of hours where relative_humidity_2m >= 80.0%
hours_rh_ge_90pct,hours (count 0-336),Literature-Supported Threshold Feature,Cumulative hours of near-saturated air humidity facilitating rapid acervuli/ascus maturation.,Magarey et al. (Foliar Infection Models); Plant Disease Journal,Count of hours where relative_humidity_2m >= 90.0%
hours_dew_condensation_proxy,hours (count 0-336),Derived Biophysical Proxy Feature,"Hours where dew point depression (T - T_dew) <= 1.5°C, serving as a meteorological proxy for canopy condensation and leaf wetness film.",Monteith & Unsworth (Principles of Environmental Physics); Sentelhas et al. (Agricultural Meteorology),Count of hours where (temperature_2m - dew_point_2m) <= 1.5°C
wind_speed_mean_kmh,km/h,Derived Statistical Feature,Mean surface wind speed at 10m. Stagnant airflow (<5 km/h) prevents drying; moderate wind aids ascospore transport.,Standard Meteorological Reanalysis Variable (ERA5-Land),Arithmetic mean over 336 hourly observations
solar_rad_mean_Wm2,W/m²,Derived Statistical Feature,Mean downward surface solar radiation. High solar flux accelerates leaf drying and exposes surface spores to UV degradation.,Standard Meteorological Reanalysis Variable (ERA5-Land),Arithmetic mean over 336 hourly observations
overcast_daylight_hours,hours (count 0-182),Literature-Supported Threshold Feature,"Count of daylight hours (06:00-18:00) with low solar radiation (<150 W/m²), indicating overcast skies that preserve foliar moisture.",TNAU Agrometeorology Advisory Manual,Count of hours between 06:00 and 18:00 where shortwave_radiation < 150.0 W/m²
soil_moisture_0_7cm_mean_m3m3,m³/m³,Derived Statistical Feature,Mean topsoil volumetric moisture (0-7cm). Elevated soil water (>0.30) elevates sub-canopy boundary layer humidity.,ECMWF ERA5-Land Land Surface Hydrology Scheme (HTESSEL),Arithmetic mean over 336 hourly observations
