threshold,value,unit,disease,feature,source,source_id,exact_source_support,classification,reason,paper_safe_wording
INSTANT_RH_PERMISSIVE_THRESHOLD,80.0,%,Foliar Fungi (Colletotrichum & Taphrina),relative_humidity_2m,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Authoritative crop protection guides explicitly document RH >= 80% as the permissive atmospheric humidity threshold for turmeric foliar fungal spore hydration and mycelial germination.,evidence-supported candidate threshold
INSTANT_TEMP_MIN_OPTIMUM,22.0,°C,Foliar Fungi (Colletotrichum capsici & Taphrina maculans),temperature_2m,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Published plant pathology literature documents 21-32°C for Colletotrichum and 22-30°C for Taphrina as cardinal thermal optima for mycelial growth.,evidence-supported candidate threshold
INSTANT_TEMP_MAX_OPTIMUM,32.0,°C,Foliar Fungi (Colletotrichum capsici),temperature_2m,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Published pathology studies establish >32°C as upper thermal boundary suppressing foliar fungal lesion expansion.,evidence-supported candidate threshold
RAIN_DAY_PRECIP_THRESHOLD,0.1,mm,All Diseases,precipitation,World Meteorological Organization (WMO),SRC-01,Yes,Class A (Explicitly Supported),Standard international meteorological definition of a measurable precipitation day (>0.1 mm).,standard meteorological precipitation-day criterion
DAP_LEAF_SPOT_SUSCEPTIBLE_MIN,60,DAP,Leaf Spot,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Documented agronomic onset of active vegetative canopy stage (60 DAP) in Tamil Nadu turmeric calendar.,phenological context window
DAP_LEAF_SPOT_SUSCEPTIBLE_MAX,160,DAP,Leaf Spot,crop_growth_stage,TNAU Agritech / AICRPS Bhavanisagar,SRC-01 SRC-02,Yes,Class A (Explicitly Supported),Documented active vegetative to mid-rhizome development window with peak foliar susceptibility.,phenological context window
DAP_LEAF_BLOTCH_SUSCEPTIBLE_MIN,120,DAP,Leaf Blotch,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Documented post-monsoon rhizome development phase (120 DAP) when Taphrina maculans symptoms typically initiate.,phenological context window
DAP_LEAF_BLOTCH_SUSCEPTIBLE_MAX,180,DAP,Leaf Blotch,crop_growth_stage,TNAU Agritech / AICRPS Bhavanisagar,SRC-01 SRC-02,Yes,Class A (Explicitly Supported),Documented late rhizome development phase before pre-harvest canopy dry-down.,phenological context window
DAP_SENESCENCE_THRESHOLD,180,DAP,All Diseases,crop_growth_stage,TNAU Agritech / CPPS,SRC-01 SRC-02,Yes,Class A (Explicitly Supported),Documented crop maturity/senescence phase (>180 DAP) characterized by natural leaf yellowing and irrigation cessation.,phenological senescence context
DAP_APHID_SUSCEPTIBLE_MIN,30,DAP,Aphids,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Documented early vegetative shoot emergence phase vulnerable to sap-sucking pests.,phenological context window
DAP_APHID_SUSCEPTIBLE_MAX,120,DAP,Aphids,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Yes,Class A (Explicitly Supported),Documented active vegetative expansion phase before foliar lamina hardening.,phenological context window
