feature_name,raw_input_parameters,transformation_method,output_unit,aggregation_window,biological_interpretation,evidence_source_ids,literature_threshold_vs_derived,disease_applicability,limitations_and_assumptions
cumulative_rainfall_14d_mm,precipitation (mm),Sum of hourly precipitation over window,mm,14 days (336 hrs),Total volume of antecedent precipitation; candidate environmental factor associated with conidial splash dispersal of Colletotrichum and root-zone soil saturation in literature.,SRC-01 SRC-02 SRC-03 SRC-04,Derived Statistical Feature,Leaf Spot (High); Leaf Blotch (Moderate); Aphids (Negative),ERA5-Land reanalysis smooths localized convective cloudbursts; assumes open-canopy rainfall reaches ground uniformly.
rainfall_days_14d_count,precipitation (mm),Count of discrete days where 24-hr daily sum > 0.1mm,days (0 to 14),14 days (14 discrete days),Frequency and persistence of rainfall; candidate factor associated with sustained microclimate moisture and prevention of foliar desiccation.,SRC-01 SRC-02 SRC-03 SRC-04,Derived Statistical Feature,Leaf Spot (High); Leaf Blotch (High); Aphids (Negative),0.1mm standard meteorological rain-day threshold; does not differentiate between a light mist and heavy downpour.
hours_rh_ge_80pct,relative_humidity_2m (%),Count of hourly timestamps where RH >= 80.0%,hours (0 to 336 hrs),14 days (336 hrs),Evidence-supported candidate feature; RH >= 80% is reported in literature as a favorable threshold for fungal spore germination and acervuli maturation.,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported Candidate Threshold Feature (TNAU / Reddy / Palakshappa),Leaf Spot (Critical); Leaf Blotch (Critical); Aphids (Negative),2m open-air humidity; relative humidity within dense turmeric foliage canopy is typically 5-10% higher during daylight.
hours_temp_favorable_22_32C,temperature_2m (°C),Count of hourly timestamps where 22.0°C <= temperature_2m <= 32.0°C,hours (0 to 336 hrs),14 days (336 hrs),Thermal incubation window reported in literature for favorable mycelial growth and lesion expansion for Colletotrichum (21-32°C) and Taphrina (25-30°C).,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported Candidate Threshold Feature (TNAU / ICAR-IISR),Leaf Spot (High); Leaf Blotch (High); Aphids (Moderate),Open-air ambient temperature at 2m; does not account for canopy shaded thermal buffer or radiant leaf heating.
mean_temperature,temperature_2m (°C),Arithmetic mean of hourly 2m temperature over window,°C,14 days (336 hrs),General metabolic thermal context; warm dry regimes (>28°C) reported to favor aphids while moderate regimes (24-28°C) favor foliar fungi.,SRC-01 SRC-02,Derived Statistical Feature,Leaf Spot (Moderate); Leaf Blotch (Moderate); Aphids (High),Linear average masks diurnal thermal extremes that may cross upper/lower pathogen tolerance thresholds.
hours_dew_condensation_proxy,temperature_2m (°C) & dew_point_2m (°C),Count of hourly timestamps where (temperature_2m - dew_point_2m) <= 1.5°C,hours (0 to 336 hrs),14 days (336 hrs),Atmospheric proxy for foliar surface dew condensation; free water film is biophysically associated with fungal appressorial penetration.,SRC-01 SRC-02 SRC-03,Derived Biophysical Proxy Feature (Monteith & Unsworth),Leaf Spot (High); Leaf Blotch (High); Aphids (Negative),Derived meteorological proxy from open-air dew point; does not directly measure physical leaf surface wetness duration.
mean_soil_moisture,soil_moisture_0_to_7cm (m³/m³),Volumetric arithmetic mean of topsoil moisture (0-7cm),m³/m³,14 days (336 hrs),Elevated topsoil moisture (>0.30 m³/m³) associated with sub-canopy boundary layer humidity and rhizosphere saturation.,SRC-02 SRC-03,Derived Statistical Feature,Leaf Spot (Moderate); Rhizome Rot (High),Model-derived land surface hydrology (HTESSEL scheme); does not account for local field soil texture (red loam vs clay) or raised ridge drainage.
wind_speed_mean_kmh,wind_speed_10m (km/h),Arithmetic mean of hourly 10m surface wind speed,km/h,14 days (336 hrs),Stagnant air (<5 km/h) associated with moisture retention; moderate breezes (8-18 km/h) reported to assist airborne ascospore transport of Taphrina.,SRC-02 SRC-03,Derived Statistical Feature,Leaf Blotch (Moderate); General (Weak),10m surface wind does not reflect aerodynamic drag and boundary layer calm within dense turmeric foliar rows.
solar_rad_mean_Wm2,shortwave_radiation (W/m²),Arithmetic mean of downward surface shortwave solar flux,W/m²,14 days (336 hrs),High solar flux accelerates foliar evaporation and UV exposure; overcast skies associated with moisture retention.,SRC-01 SRC-03,Derived Statistical Feature,Foliar Fungi (Negative); Aphids (Positive),Macro-grid downward radiation; does not capture intercropping shade (e.g. coconut / marigold) or self-shading.
overcast_daylight_hours,shortwave_radiation (W/m²),Count of hours between 06:00 and 18:00 where shortwave_radiation < 150 W/m²,hours (0 to 182 hrs),14 days (daylight hours only),Indicator of persistent cloudiness during daylight; associated with prolonged foliar moisture retention.,SRC-01 SRC-03,Literature-Supported Candidate Threshold Feature (TNAU AAS),Leaf Spot (High); Leaf Blotch (High),Astronomical daylight hours proxy; cloud cover thickness not directly differentiated.
crop_growth_stage_dap,Farmer Planting Date / Sowing Log,Categorical stage mapped from Days After Planting (DAP),Categorical (Vegetative / Rhizome / Senescence),Phenological growth phase,Phenological context: Vegetative (60-120 DAP) and Rhizome (120-180 DAP) are documented susceptible stages; Senescence (>180 DAP) hypothesized to have reduced active lesion spread.,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported Context & Proposed Agronomic Hypothesis,All Diseases (Phenological Context),Supplied via agronomic calendar/farmer input (unavailable in weather data); varietal maturity timing differences (e.g. BSR-1 vs Alleppey Supreme).
