threshold_name,value,unit,disease,feature,source_document,source_record_id,source_type,explicitly_supported,exploratory_only,engineering_assumption,scientific_status,notes
MOISTURE_RH_HIGH_HOURS,140,hours (14d),Leaf Spot & Leaf Blotch,hours_rh_ge_80pct,TNAU Agritech / CPPS,SRC-01 SRC-02,Expert Agronomic Advisory & Reanalysis Calibration,False,True,True,C (Engineering Assumption / Provisional),Heuristic aggregation (~10h/day >=80% RH). In n=8 data high blotch aligned with >160h. Not an explicit literature boundary.
MOISTURE_RH_MODERATE_HOURS,80,hours (14d),Leaf Spot & Leaf Blotch,hours_rh_ge_80pct,TNAU Agritech / CPPS,SRC-01 SRC-02,Expert Agronomic Advisory & Reanalysis Calibration,False,False,True,C (Engineering Assumption / Provisional),Heuristic baseline (~5.7h/day >=80% RH). Provisional cutoff for moderate permissiveness.
MOISTURE_RH_DEFICIENT_HOURS,60,hours (14d),Leaf Spot & Leaf Blotch,hours_rh_ge_80pct,TNAU Agritech,SRC-01,Expert Advisory,False,False,True,C (Engineering Assumption / Provisional),Heuristic deficit gate (<4.3h/day >=80% RH) indicating low fungal spore hydration.
DEW_PROXY_HIGH_HOURS,90,hours (14d),Leaf Blotch & Leaf Spot,hours_dew_condensation_proxy,Monteith & Unsworth (1990) / AICRPS Bhavanisagar,SRC-02 SRC-03,Biophysical Proxy & Reanalysis Calibration,False,True,True,C (Engineering Assumption / Provisional),Heuristic accumulation (~6.5h/day of condensation proxy). High blotch records had 95-164h. Not an explicit literature cutoff.
DEW_PROXY_MODERATE_HOURS,50,hours (14d),Leaf Blotch & Leaf Spot,hours_dew_condensation_proxy,AICRPS Bhavanisagar,SRC-02,Reanalysis Calibration,False,False,True,C (Engineering Assumption / Provisional),Heuristic intermediate cutoff (~3.5h/day condensation proxy). Provisional baseline.
DEW_PROXY_DEFICIENT_HOURS,30,hours (14d),Leaf Blotch & Leaf Spot,hours_dew_condensation_proxy,AICRPS Bhavanisagar,SRC-02,Reanalysis Calibration,False,False,True,C (Engineering Assumption / Provisional),Heuristic deficit gate (<2.1h/day condensation proxy) indicating dry leaf surfaces.
TEMP_FAVORABLE_HIGH_HOURS,180,hours (14d),Leaf Spot & Leaf Blotch,hours_temp_favorable_22_32C,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Pathology Literature & Reanalysis Calibration,False,True,True,C (Engineering Assumption / Provisional),Heuristic accumulation (~12.8h/day within 22-32C). High disease records had 240-333h. Provisional baseline.
TEMP_FAVORABLE_MIN_INCUBATION,100,hours (14d),Leaf Spot & Leaf Blotch,hours_temp_favorable_22_32C,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Pathology Literature & Reanalysis Calibration,False,False,True,C (Engineering Assumption / Provisional),Heuristic minimum thermal threshold (<7.1h/day in range) gating metabolic inactivity.
RAIN_HIGH_CUMULATIVE_MM,40.0,mm (14d),Leaf Spot,cumulative_rainfall_14d_mm,TNAU CPPS / AICRPS Bhavanisagar,SRC-01 SRC-02,Field Survey & Exploratory Association,False,True,True,C (Engineering Assumption / Provisional),Heuristic splash volume threshold. High PDI cases had 73-163mm; lowest had 12.2mm. 40mm chosen as provisional midpoint.
RAIN_MODERATE_CUMULATIVE_MM,15.0,mm (14d),Leaf Spot,cumulative_rainfall_14d_mm,TNAU CPPS,SRC-01,Agronomic Advisory,False,False,True,C (Engineering Assumption / Provisional),Provisional threshold separating dry spells from moderate rain splash events.
RAIN_DRY_CUMULATIVE_MM,5.0,mm (14d),All Diseases,cumulative_rainfall_14d_mm,TNAU CPPS / IISR,SRC-01 SRC-04,Agronomic Advisory,False,False,True,C (Engineering Assumption / Provisional),Provisional deficit threshold indicating negligible rain splash.
RAIN_HIGH_DAYS_COUNT,5,days (14d),Leaf Spot,rainfall_days_14d_count,TNAU CPPS / AICRPS Bhavanisagar,SRC-01 SRC-02,Field Survey & Exploratory Association,False,True,True,C (Engineering Assumption / Provisional),Heuristic rain frequency threshold (~35% of days with rain). In n=8 records rain days ranged 7-14.
RAIN_PEST_WASHOFF_MM,30.0,mm (14d),Aphids,cumulative_rainfall_14d_mm,ICAR-IISR / TNAU Agritech,SRC-01 SRC-04,Pest Management Guidelines,False,False,True,C (Engineering Assumption / Provisional),Literature states heavy rains wash off aphids; 30mm is an engineering assumption for 14-day cumulative wash-off.
RAIN_PEST_WASHOFF_DAYS,4,days (14d),Aphids,rainfall_days_14d_count,ICAR-IISR / TNAU Agritech,SRC-01 SRC-04,Pest Management Guidelines,False,False,True,C (Engineering Assumption / Provisional),Literature states rain frequency disrupts aphid colonies; 4 rain days is an engineering assumption.
APHID_DRY_MAX_RH_HOURS,60,hours (14d),Aphids,hours_rh_ge_80pct,TNAU Agritech,SRC-01,Pest Management Advisory,False,False,True,C (Engineering Assumption / Provisional),Heuristic dry boundary (<4.3h/day >=80% RH) reflecting aphid preference for dry spells.
APHID_WARM_MEAN_TEMP_C,27.5,°C,Aphids,mean_temperature,ICAR-IISR / TNAU Agritech,SRC-01 SRC-04,Pest Biology Literature,False,True,True,C (Engineering Assumption / Provisional),Literature documents aphid proliferation >28C; 27.5C is a provisional 14-day mean threshold.
APHID_MODERATE_TEMP_C,25.0,°C,Aphids,mean_temperature,ICAR-IISR,SRC-04,Pest Biology Literature,False,False,True,C (Engineering Assumption / Provisional),Provisional thermal baseline for moderate pest pressure.
REQUIRED_WINDOW_HOURS,336,hours,All Diseases,windowHours,TNAU / ICAR Plant Pathology,SRC-01 SRC-02 SRC-03,Incubation Period Biology,True,True,False,A (Explicitly Supported),14 days (336h) matches documented 7-14 day incubation latency for Colletotrichum and Taphrina foliar lesions.
INSTANT_RH_PERMISSIVE_THRESHOLD,80.0,%,Foliar Fungi,relative_humidity_2m,TNAU Agritech / CPPS / ICAR-IISR,SRC-01 SRC-02 SRC-04,Peer-Reviewed Pathology Literature,True,True,False,A (Explicitly Supported),Explicitly documented in TNAU/ICAR literature: RH >=80% required for spore germination and lesion development.
INSTANT_TEMP_MIN_OPTIMUM,22.0,°C,Foliar Fungi,temperature_2m,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Peer-Reviewed Pathology Literature,True,True,False,A (Explicitly Supported),Explicitly documented: 21-32C for Colletotrichum capsici; 22-30C for Taphrina maculans.
INSTANT_TEMP_MAX_OPTIMUM,32.0,°C,Foliar Fungi,temperature_2m,TNAU CPPS / ICAR-IISR,SRC-01 SRC-04,Peer-Reviewed Pathology Literature,True,True,False,A (Explicitly Supported),Explicitly documented upper thermal threshold for turmeric foliar fungal mycelial growth.
DEW_POINT_DEPRESSION_THRESHOLD,1.5,°C,Foliar Fungi,dew_point_depression,Monteith & Unsworth (1990) / Standard Agrometeorology,SRC-01 SRC-03,Micrometeorological Theory,True,True,False,A (Explicitly Supported),Standard biophysical boundary: (T - T_dew) <= 1.5C indicates near-saturation boundary layer condensation.
RAIN_DAY_PRECIP_THRESHOLD,0.1,mm,All Diseases,precipitation,World Meteorological Organization (WMO),SRC-01,International Meteorological Standard,True,True,False,A (Explicitly Supported),Standard WMO definition of a measurable precipitation day (>0.1 mm).
DAP_LEAF_SPOT_SUSCEPTIBLE_MIN,60,DAP,Leaf Spot,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Agronomic Extension Literature,True,True,False,A (Explicitly Supported),Active vegetative canopy establishment onset (60 DAP).
DAP_LEAF_SPOT_SUSCEPTIBLE_MAX,160,DAP,Leaf Spot,crop_growth_stage,TNAU Agritech / AICRPS Bhavanisagar,SRC-01 SRC-02,Agronomic Extension Literature,True,True,False,A (Explicitly Supported),Peak foliar development window before late senescence.
DAP_LEAF_BLOTCH_SUSCEPTIBLE_MIN,120,DAP,Leaf Blotch,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Agronomic Extension Literature,True,True,False,A (Explicitly Supported),Rhizome development phase onset (120 DAP) when blotch commonly emerges.
DAP_LEAF_BLOTCH_SUSCEPTIBLE_MAX,180,DAP,Leaf Blotch,crop_growth_stage,TNAU Agritech / AICRPS Bhavanisagar,SRC-01 SRC-02,Agronomic Extension Literature,True,True,False,A (Explicitly Supported),Rhizome maturation phase before final foliar dry-down.
DAP_SENESCENCE_THRESHOLD,180,DAP,All Diseases,crop_growth_stage,TNAU Agritech / CPPS,SRC-01 SRC-02,Agronomic Phenology,True,True,False,A (Explicitly Supported),Harvest preparation phase (>180 DAP) characterized by natural senescence and irrigation cessation.
DAP_APHID_SUSCEPTIBLE_MIN,30,DAP,Aphids,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Entomological Literature,True,True,False,A (Explicitly Supported),Early tender shoot and leaf emergence window susceptible to sap-sucking pests.
DAP_APHID_SUSCEPTIBLE_MAX,120,DAP,Aphids,crop_growth_stage,TNAU Agritech / ICAR-IISR,SRC-01 SRC-04,Entomological Literature,True,True,False,A (Explicitly Supported),Active canopy expansion before leaf hardening.
OVERCAST_SOLAR_RAD_MIN_DAYLIGHT,10.0,W/m²,Foliar Fungi,shortwave_radiation,Atmospheric Radiation Standards,SRC-03,Physical Agrometeorology,True,False,False,A (Explicitly Supported),Standard boundary separating night/darkness from daylight illumination.
OVERCAST_SOLAR_RAD_MAX_CLOUD,200.0,W/m²,Foliar Fungi,shortwave_radiation,Atmospheric Radiation Standards,SRC-03,Physical Agrometeorology,False,False,True,C (Engineering Assumption / Provisional),Provisional threshold representing diffuse overcast daylight in tropical monsoon conditions.
