feature_name,disease_applicability,biological_rationale,evidence_source_ids,evidence_classification,supporting_obs_count,obs_metric_type,era5_data_availability,temporal_aggregation_required,spatial_limitations,risk_model_safety_verdict,context_only_verdict,field_validation_required
cumulative_rainfall_14d_mm,Leaf Spot (High); Leaf Blotch (Moderate); Aphids (Negative/Washoff),Rain splash actively disperses Colletotrichum conidia; prolonged precipitation creates persistent surface moisture and root hypoxia predisposing foliage.,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported & Source-Observed,8 quantitative (4 Leaf Spot 4 Leaf Blotch) + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Hourly precipitation sum in ERA5-Land),14-day cumulative accumulation,Regional grid (0.1 deg ~9km); does not capture micro-furrow flood irrigation variations.,SAFE_CANDIDATE_FEATURE,NO (Can enter quantitative biophysical engine as exposure feature),YES (Field calibration of rain splash threshold vs canopy density)
rainfall_days_14d_count,Leaf Spot (High); Leaf Blotch (High); Aphids (Negative),Precipitation frequency and rain persistence prevent leaf drying and sustain continuous microclimate moisture.,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported & Source-Observed,8 quantitative + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Derived from daily resampled ERA5 precipitation >0.1mm),14-day discrete rain-day count (0-14 days),Macro-grid reanalysis smooths localized convective cloudbursts.,SAFE_CANDIDATE_FEATURE,NO (Direct biophysical persistence indicator),YES (Validation against local raingauge networks)
hours_rh_ge_80pct,Leaf Spot (Critical); Leaf Blotch (Critical),Atmospheric moisture >=80% is the established biological permissive gate required for conidial germination acervuli maturation and ascus dehiscence.,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported & Source-Observed,8 quantitative + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Hourly 2m relative humidity in ERA5-Land),14-day cumulative hours count (0-336 hrs),Open-air 2m grid; sub-canopy relative humidity in dense turmeric fields is typically 5-10% higher.,SAFE_CANDIDATE_FEATURE,NO (Core biophysical permissive gate),YES (In-situ canopy microclimate sensor calibration)
hours_temp_favorable_22_32C,Leaf Spot (High); Leaf Blotch (High),Thermal window for optimal mycelial growth and lesion expansion for Colletotrichum capsici (21-32C) and Taphrina maculans (25-30C).,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported & Source-Observed,8 quantitative + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Hourly 2m air temperature in ERA5-Land),14-day cumulative hours count (0-336 hrs),Surface air temperature; shaded lower canopy experiences narrower diurnal thermal extremes.,SAFE_CANDIDATE_FEATURE,NO (Core thermal incubation exposure feature),YES (Canopy vs ambient temperature offset verification)
mean_temperature,Leaf Spot (Moderate); Leaf Blotch (Moderate); Aphids (High),Governs general metabolic kinetics; aphids proliferate at warmer temperatures (>28C) while fungi prefer moderate temperatures (22-28C).,SRC-01 SRC-02,Literature-Supported & Statistically Exploratory,8 quantitative + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Hourly 2m air temperature in ERA5-Land),14-day arithmetic mean,Macro-grid average; does not account for microclimate stratification.,CONTEXT_ONLY_FEATURE,YES (Better represented as threshold hours than linear mean),YES (Correlation with aphid population dynamics)
hours_dew_condensation_proxy,Leaf Spot (High); Leaf Blotch (High); Aphids (Negative),Dew-point depression (T - T_dew <= 1.5C) indicates surface condensation serving as an atmospheric proxy for free water film required for appressoria penetration.,SRC-01 SRC-02 SRC-03,Literature-Supported & Derived Biophysical Proxy,8 quantitative + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Derived from hourly T and T_dew in ERA5-Land),14-day cumulative hours count (0-336 hrs),Calculated proxy from open-air dew point; does not directly measure foliar surface moisture duration.,SAFE_CANDIDATE_FEATURE,NO (Strongest non-rain moisture proxy available in reanalysis),YES (Direct validation against hardware leaf wetness resistance grids)
mean_soil_moisture,Leaf Spot (Moderate); Rhizome Health (High),Topsoil saturation (>0.35 m3/m3) elevates sub-canopy humidity and creates root hypoxia predisposing rhizomes.,SRC-02 SRC-03,Literature-Supported & Source-Observed,8 quantitative + 2 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (ERA5-Land topsoil layer 1: 0-7cm),14-day volumetric mean,Reanalysis soil moisture uses standard pedotransfer functions; does not reflect local soil texture (red loam vs clay) or furrow ridges.,CONTEXT_ONLY_FEATURE,YES (High regional model dependence; uncalibrated for soil types),YES (In-situ capacitive sensor validation at rhizome depth 15cm)
wind_speed_mean_kmh,Leaf Blotch (Moderate for ascospore dispersal); General (Weak),Airborne ascospore dissemination for Taphrina; stagnant air (<5 km/h) retains canopy moisture.,SRC-02 SRC-03,Literature-Supported & Statistically Exploratory,8 quantitative,QUANTITATIVE_PDI,AVAILABLE (Hourly 10m wind speed in ERA5-Land),14-day arithmetic mean,10m standard surface wind does not reflect sub-canopy boundary layer aerodynamics.,REQUIRES_ADDITIONAL_FIELD_VALIDATION,YES (Weak variance in regional Northeast Monsoon reanalysis),YES (Canopy boundary layer anemometry)
solar_rad_mean_Wm2,Foliar Fungi (Negative/UV mortality); Aphids (Positive),High solar irradiance accelerates canopy drying and induces UV mortality on exposed spores; overcast conditions preserve moisture.,SRC-01 SRC-03,Literature-Supported & Statistically Exploratory,8 quantitative + 1 qualitative alert,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,AVAILABLE (Hourly surface shortwave solar radiation in ERA5-Land),14-day arithmetic mean & overcast daylight hours count,Grid-level solar flux; canopy interception and self-shading alter actual foliar exposure.,CONTEXT_ONLY_FEATURE,YES (Better captured via overcast daylight hours than raw mean radiation),YES (Photosynthetically active radiation under canopy)
crop_growth_stage,All Diseases (Critical Phenological Gate),Vegetative (60-120 DAP) and Rhizome Development (120-180 DAP) are highly susceptible to foliar spots; mature senescing canopy (>180 DAP) limits active lesion spread despite high humidity.,SRC-01 SRC-02 SRC-03 SRC-04,Literature-Supported & Hypothesis for Late-Season Divergence,8 quantitative + 3 qualitative alerts,QUANTITATIVE_PDI & QUALITATIVE_ADVISORY_ALERT,UNAVAILABLE in weather data (Provided via farmer calendar / DAP input),Agronomic growth phase / Days After Planting (DAP),Farmer-reported field-specific planting date variation.,SAFE_CANDIDATE_FEATURE,NO (Essential non-linear phenological gate for biological risk),YES (Multi-season field trial validation of varietal susceptibility across DAP)
